homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition
H0,63,0.6282827854156494,11.415058672428131,64,0,rouse_like_unit_correlation,true
H1,14,0.2619174122810364,1.103176012635231,4,0,rouse_like_unit_correlation,true
H2,4,0.13394558429718018,0.3131842613220215,2,0,rouse_like_unit_correlation,true
H0,63,0.645041286945343,10.686836833134294,64,0,rouse_like_unit_correlation,neutral
H1,18,0.3216264545917511,1.2142744436860085,5,0,rouse_like_unit_correlation,neutral
H2,3,0.13996124267578125,0.2758214473724365,2,0,rouse_like_unit_correlation,neutral
H0,63,0.6332555413246155,11.463006161153316,64,0,rouse_like_unit_correlation,flipped
H1,15,0.26437878608703613,1.1041515544056892,4,0,rouse_like_unit_correlation,flipped
H2,5,0.137448251247406,0.3217323422431946,2,0,rouse_like_unit_correlation,flipped
H0,63,0.6326865553855896,11.594883092213422,64,0,rouse_like_unit_correlation,shuffled
H1,15,0.2648010849952698,1.1063945814967155,4,0,rouse_like_unit_correlation,shuffled
H2,4,0.1317126750946045,0.30583810806274414,2,0,rouse_like_unit_correlation,shuffled
H0,63,0.9889947772026062,61.828662633895874,64,0,rouse_like_unit_correlation,unit_activity_shuffle
H1,160,0.011644065380096436,0.6661374568939209,110,0,rouse_like_unit_correlation,unit_activity_shuffle
H2,315,0.005793333053588867,0.5582622289657593,121,0,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9880762696266174,61.917535066604614,64,0,rouse_like_unit_correlation,independent_gaussian_units
H1,174,0.009782135486602783,0.5936111211776733,97,0,rouse_like_unit_correlation,independent_gaussian_units
H2,294,0.005298137664794922,0.5323387384414673,108,0,rouse_like_unit_correlation,independent_gaussian_units
H0,63,0.8125413060188293,8.147660476155579,64,1,rouse_like_unit_correlation,true
H1,15,0.6032435894012451,1.4755598604679108,4,1,rouse_like_unit_correlation,true
H2,2,0.0996893048286438,0.1382421851158142,1,1,rouse_like_unit_correlation,true
H0,63,0.47298046946525574,7.489250689279288,64,1,rouse_like_unit_correlation,neutral
H1,15,0.6381244957447052,1.5999008361250162,5,1,rouse_like_unit_correlation,neutral
H2,4,0.15932083129882812,0.2765916585922241,2,1,rouse_like_unit_correlation,neutral
H0,63,0.8236366510391235,8.132997649721801,64,1,rouse_like_unit_correlation,flipped
H1,14,0.6035067439079285,1.532168984413147,4,1,rouse_like_unit_correlation,flipped
H2,3,0.0963294506072998,0.11650341749191284,2,1,rouse_like_unit_correlation,flipped
H0,63,0.7582541108131409,8.144028926733881,64,1,rouse_like_unit_correlation,shuffled
H1,15,0.5928349792957306,1.553451918065548,4,1,rouse_like_unit_correlation,shuffled
H2,3,0.09606289863586426,0.15370196104049683,2,1,rouse_like_unit_correlation,shuffled
H0,63,0.9881068468093872,61.90663254261017,64,1,rouse_like_unit_correlation,unit_activity_shuffle
H1,157,0.010087311267852783,0.5402444005012512,98,1,rouse_like_unit_correlation,unit_activity_shuffle
H2,310,0.005132436752319336,0.5427967309951782,140,1,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9873237609863281,61.87012940645218,64,1,rouse_like_unit_correlation,independent_gaussian_units
H1,170,0.010913729667663574,0.6366912722587585,112,1,rouse_like_unit_correlation,independent_gaussian_units
H2,257,0.006369888782501221,0.4181895852088928,106,1,rouse_like_unit_correlation,independent_gaussian_units
H0,63,0.3472558856010437,6.004006637260318,64,2,rouse_like_unit_correlation,true
H1,8,0.8333532512187958,0.9674424864351749,2,2,rouse_like_unit_correlation,true
H2,1,0.10098636150360107,0.10098636150360107,1,2,rouse_like_unit_correlation,true
H0,63,0.27715522050857544,5.355370374862105,64,2,rouse_like_unit_correlation,neutral
H1,6,0.821323573589325,0.9920249804854393,2,2,rouse_like_unit_correlation,neutral
H2,1,0.0625985860824585,0.0625985860824585,1,2,rouse_like_unit_correlation,neutral
H0,63,0.3148336410522461,5.968996615381911,64,2,rouse_like_unit_correlation,flipped
H1,8,0.8107157349586487,0.946911908686161,2,2,rouse_like_unit_correlation,flipped
H2,1,0.10247969627380371,0.10247969627380371,1,2,rouse_like_unit_correlation,flipped
H0,63,0.32161954045295715,6.045252684038132,64,2,rouse_like_unit_correlation,shuffled
H1,8,0.8279211521148682,0.9561935551464558,2,2,rouse_like_unit_correlation,shuffled
H2,1,0.10154962539672852,0.10154962539672852,1,2,rouse_like_unit_correlation,shuffled
H0,63,0.9881272912025452,61.837748885154724,64,2,rouse_like_unit_correlation,unit_activity_shuffle
H1,149,0.011460363864898682,0.5599253177642822,92,2,rouse_like_unit_correlation,unit_activity_shuffle
H2,318,0.005739927291870117,0.5424842834472656,154,2,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9885836839675903,61.893351554870605,64,2,rouse_like_unit_correlation,independent_gaussian_units
H1,166,0.010636091232299805,0.5843096375465393,87,2,rouse_like_unit_correlation,independent_gaussian_units
H2,325,0.005750775337219238,0.5988191962242126,118,2,rouse_like_unit_correlation,independent_gaussian_units
H0,63,0.7207902669906616,8.410680808359757,64,3,rouse_like_unit_correlation,true
H1,10,0.6692215204238892,1.125537559390068,3,3,rouse_like_unit_correlation,true
H2,1,0.047188639640808105,0.047188639640808105,1,3,rouse_like_unit_correlation,true
H0,63,0.5633266568183899,7.249626403790899,64,3,rouse_like_unit_correlation,neutral
H1,10,0.735365629196167,1.0544619336724281,3,3,rouse_like_unit_correlation,neutral
H2,1,0.05665779113769531,0.05665779113769531,1,3,rouse_like_unit_correlation,neutral
H0,63,0.6908843517303467,8.387623900780454,64,3,rouse_like_unit_correlation,flipped
H1,10,0.6501943469047546,1.1052047051489353,3,3,rouse_like_unit_correlation,flipped
H2,3,0.047657132148742676,0.07279467582702637,1,3,rouse_like_unit_correlation,flipped
H0,63,0.6815793514251709,8.489725859370083,64,3,rouse_like_unit_correlation,shuffled
H1,11,0.6725851893424988,1.178781934082508,3,3,rouse_like_unit_correlation,shuffled
H2,1,0.047394752502441406,0.047394752502441406,1,3,rouse_like_unit_correlation,shuffled
H0,63,0.9872449636459351,61.91353386640549,64,3,rouse_like_unit_correlation,unit_activity_shuffle
H1,168,0.01022869348526001,0.6301710605621338,110,3,rouse_like_unit_correlation,unit_activity_shuffle
H2,306,0.005525171756744385,0.5748770833015442,158,3,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9875628352165222,61.867239236831665,64,3,rouse_like_unit_correlation,independent_gaussian_units
H1,162,0.010065078735351562,0.6311290860176086,103,3,rouse_like_unit_correlation,independent_gaussian_units
H2,309,0.005602121353149414,0.5714612603187561,151,3,rouse_like_unit_correlation,independent_gaussian_units
H0,63,0.5172961354255676,11.638235127553344,64,4,rouse_like_unit_correlation,true
H1,15,0.48506712913513184,1.3955411463975906,6,4,rouse_like_unit_correlation,true
H2,7,0.16881924867630005,0.27630388736724854,3,4,rouse_like_unit_correlation,true
H0,63,0.4999762177467346,11.008560731075704,64,4,rouse_like_unit_correlation,neutral
H1,16,0.4128190279006958,1.1943472847342491,6,4,rouse_like_unit_correlation,neutral
H2,4,0.15083980560302734,0.26617375016212463,3,4,rouse_like_unit_correlation,neutral
H0,63,0.5194132924079895,11.602897403761744,64,4,rouse_like_unit_correlation,flipped
H1,16,0.4859776496887207,1.4134063869714737,6,4,rouse_like_unit_correlation,flipped
H2,6,0.16831111907958984,0.27524232864379883,3,4,rouse_like_unit_correlation,flipped
H0,63,0.518599271774292,11.781094517558813,64,4,rouse_like_unit_correlation,shuffled
H1,16,0.48164528608322144,1.397708110511303,6,4,rouse_like_unit_correlation,shuffled
H2,7,0.1645512580871582,0.2697295546531677,3,4,rouse_like_unit_correlation,shuffled
H0,63,0.9874256253242493,61.89009416103363,64,4,rouse_like_unit_correlation,unit_activity_shuffle
H1,170,0.010671675205230713,0.6704815626144409,98,4,rouse_like_unit_correlation,unit_activity_shuffle
H2,303,0.006004452705383301,0.6390760540962219,84,4,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9875738620758057,61.89746117591858,64,4,rouse_like_unit_correlation,independent_gaussian_units
H1,162,0.010391294956207275,0.6662729382514954,102,4,rouse_like_unit_correlation,independent_gaussian_units
H2,301,0.0061661601066589355,0.5560268759727478,112,4,rouse_like_unit_correlation,independent_gaussian_units
